dataset	model	stratification	stratification_hash	crossvalidation	run_id	population_id	population_name	population	f1	precision	recall	specificity	balanced_accuracy_ovr	accuracy	support	nominal_train_count	training_support	present_in_training	test_truth_count	eligible_test_count	test_support_fraction	rare_bucket	n_cells	source_path	tp	fp	fn	tn
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	.3cfd963b74881b9b1c81b4e4a8fcce333a9461195e98d122e6c796123d7e9c79	num-1	run0	1	B cells	B cells	0.9999889625942319	0.9999889625942319	0.9999889625942319	0.9999979865217767	0.9999934745580044	0.9999889625942319	90601	29908	29908	TRUE	90601	587254	0.1542790683418078	5-20%	587254	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.3cfd963b74881b9b1c81b4e4a8fcce333a9461195e98d122e6c796123d7e9c79/analysis/cyanno/default/metrics/flow_metrics/.72beba84ce0b45807ad6742268c337109feffbd7fc47d1b6f872e8fd919ab232/data_import.flow_metrics.json.gz	90600	1	1	496652
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3	num-1	run0	1	B cells	B cells	0.9999889625942319	0.9999889625942319	0.9999889625942319	0.9999979865217767	0.9999934745580044	0.9999889625942319	90601	29908	29908	TRUE	90601	587254	0.1542790683418078	5-20%	587254	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/analysis/cyanno/default/metrics/flow_metrics/.72beba84ce0b45807ad6742268c337109feffbd7fc47d1b6f872e8fd919ab232/data_import.flow_metrics.json.gz	90600	1	1	496652
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	unfiltered	.e924e671977a35b401c5c23aaf1308ed57ddaf256c55741b97fd498c2a244b62	num-1	run0	1	B cells	B cells	0.9999889625942319	0.9999889625942319	0.9999889625942319	0.9999979865217767	0.9999934745580044	0.9999889625942319	90601	29908	29908	TRUE	90601	587254	0.1542790683418078	5-20%	587254	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.e924e671977a35b401c5c23aaf1308ed57ddaf256c55741b97fd498c2a244b62/analysis/cyanno/default/metrics/flow_metrics/.72beba84ce0b45807ad6742268c337109feffbd7fc47d1b6f872e8fd919ab232/data_import.flow_metrics.json.gz	90600	1	1	496652
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	.3cfd963b74881b9b1c81b4e4a8fcce333a9461195e98d122e6c796123d7e9c79	num-1	run0	2	Effector memory CD4+ T cells	Effector memory CD4+ T cells	1	1	1	1	1	1	102116	28239	28239	TRUE	102116	587254	0.1738872787584248	5-20%	587254	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.3cfd963b74881b9b1c81b4e4a8fcce333a9461195e98d122e6c796123d7e9c79/analysis/cyanno/default/metrics/flow_metrics/.72beba84ce0b45807ad6742268c337109feffbd7fc47d1b6f872e8fd919ab232/data_import.flow_metrics.json.gz	102116	0	0	485138
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3	num-1	run0	2	Effector memory CD4+ T cells	Effector memory CD4+ T cells	1	1	1	1	1	1	102116	28239	28239	TRUE	102116	587254	0.1738872787584248	5-20%	587254	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/analysis/cyanno/default/metrics/flow_metrics/.72beba84ce0b45807ad6742268c337109feffbd7fc47d1b6f872e8fd919ab232/data_import.flow_metrics.json.gz	102116	0	0	485138
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	unfiltered	.e924e671977a35b401c5c23aaf1308ed57ddaf256c55741b97fd498c2a244b62	num-1	run0	2	Effector memory CD4+ T cells	Effector memory CD4+ T cells	1	1	1	1	1	1	102116	28239	28239	TRUE	102116	587254	0.1738872787584248	5-20%	587254	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.e924e671977a35b401c5c23aaf1308ed57ddaf256c55741b97fd498c2a244b62/analysis/cyanno/default/metrics/flow_metrics/.72beba84ce0b45807ad6742268c337109feffbd7fc47d1b6f872e8fd919ab232/data_import.flow_metrics.json.gz	102116	0	0	485138
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	.3cfd963b74881b9b1c81b4e4a8fcce333a9461195e98d122e6c796123d7e9c79	num-1	run0	3	Effector memory CD8+ T cells	Effector memory CD8+ T cells	0.9899085611408537	0.9800187617260788	1	0.9996307257020113	0.9998153628510056	1	10447	2890	2890	TRUE	10447	587254	0.017789576571636805	1-5%	587254	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.3cfd963b74881b9b1c81b4e4a8fcce333a9461195e98d122e6c796123d7e9c79/analysis/cyanno/default/metrics/flow_metrics/.72beba84ce0b45807ad6742268c337109feffbd7fc47d1b6f872e8fd919ab232/data_import.flow_metrics.json.gz	10447	213	0	576594
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3	num-1	run0	3	Effector memory CD8+ T cells	Effector memory CD8+ T cells	0.9899085611408537	0.9800187617260788	1	0.9996307257020113	0.9998153628510056	1	10447	2890	2890	TRUE	10447	587254	0.017789576571636805	1-5%	587254	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.cf99b5bbf108239b5579ea572773bd79f2991aa4794838d0cb51fe27dd533bc3/analysis/cyanno/default/metrics/flow_metrics/.72beba84ce0b45807ad6742268c337109feffbd7fc47d1b6f872e8fd919ab232/data_import.flow_metrics.json.gz	10447	213	0	576594
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	unfiltered	.e924e671977a35b401c5c23aaf1308ed57ddaf256c55741b97fd498c2a244b62	num-1	run0	3	Effector memory CD8+ T cells	Effector memory CD8+ T cells	0.9899085611408537	0.9800187617260788	1	0.9996307257020113	0.9998153628510056	1	10447	2890	2890	TRUE	10447	587254	0.017789576571636805	1-5%	587254	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.e924e671977a35b401c5c23aaf1308ed57ddaf256c55741b97fd498c2a244b62/analysis/cyanno/default/metrics/flow_metrics/.72beba84ce0b45807ad6742268c337109feffbd7fc47d1b6f872e8fd919ab232/data_import.flow_metrics.json.gz	10447	213	0	576594
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	.3cfd963b74881b9b1c81b4e4a8fcce333a9461195e98d122e6c796123d7e9c79	num-1	run0	4	NK cells	NK cells	0.9977897585259549	0.9955892658394823	1	0.9988531470929959	0.999426573546498	1	120760	7845	7845	TRUE	120760	587254	0.20563504037435248	>20%	587254	/home/kaae2/code/ob/out/data/data_import/.40af3de4038f7fd12f849835ef6543f41dab23d181f383edf478dfd4bbc2d176/preprocessing/data_preprocessing/.22704ed374bbace5c19a5ca6efd8bf95d27c12041c8ec4e35cdfdad58efa8200/stratify/data_stratify/.3cfd963b74881b9b1c81b4e4a8fcce333a9461195e98d122e6c796123d7e9c79/analysis/cyanno/default/metrics/flow_metrics/.72beba84ce0b45807ad6742268c337109feffbd7fc47d1b6f872e8fd919ab232/data_import.flow_metrics.json.gz	120760	535	0	465959
