dataset	model	crossvalidation	n_cells	f1_macro_median	f1_weighted_median	runtime_seconds
dataset_name-FR-FCM-Z238_infection_final_seed-42	cyanno	num-1	2828901	0.7335156500348646	0.8239242332771032	NA
dataset_name-FR-FCM-Z238_infection_final_seed-42	cyanno	num-2	2768169	0.7236484324822124	0.8149590886098016	NA
dataset_name-FR-FCM-Z238_infection_final_seed-42	cyanno	num-3	2830864	0.7110246290412748	0.7460106853043251	NA
dataset_name-FR-FCM-Z238_infection_final_seed-42	cyanno	num-4	2817387	0.6873069448692352	0.7395766297162328	NA
dataset_name-FR-FCM-Z238_infection_final_seed-42	cyanno	num-5	2800058	0.7403914148078383	0.8269625787760838	NA
dataset_name-FR-FCM-Z238_infection_final_seed-42	cygate	num-1	2732233	0.5676805503120292	0.6541269454963852	NA
dataset_name-FR-FCM-Z238_infection_final_seed-42	cygate	num-2	2703551	0.5730718035109411	0.6686728959306127	NA
dataset_name-FR-FCM-Z238_infection_final_seed-42	cygate	num-3	2766411	0.6229400540524387	0.6493349176591927	NA
dataset_name-FR-FCM-Z238_infection_final_seed-42	cygate	num-4	2717047	0.6446028122221704	0.7226229435310246	NA
dataset_name-FR-FCM-Z238_infection_final_seed-42	cygate	num-5	2661403	0.6094812506479941	0.7082382951779846	NA
dataset_name-FR-FCM-Z238_infection_final_seed-42	dgcytof	num-1	2828901	0.6535539299353318	0.7755621149934198	NA
dataset_name-FR-FCM-Z238_infection_final_seed-42	dgcytof	num-2	2768169	0.6090458114450268	0.7754789831961312	NA
dataset_name-FR-FCM-Z238_infection_final_seed-42	dgcytof	num-3	2830864	0.6595080884191153	0.7157509938857107	NA
dataset_name-FR-FCM-Z238_infection_final_seed-42	dgcytof	num-4	2817387	0.6072519493776708	0.6915800545295109	NA
dataset_name-FR-FCM-Z238_infection_final_seed-42	dgcytof	num-5	2800058	0.6707644382048117	0.797743984394548	NA
dataset_name-FR-FCM-Z238_infection_final_seed-42	lda	num-1	2383256	0.5256383901160934	0.6769329364626453	NA
dataset_name-FR-FCM-Z238_infection_final_seed-42	lda	num-2	2354472	0.4716934225900486	0.6411559733218625	NA
dataset_name-FR-FCM-Z238_infection_final_seed-42	lda	num-3	2533024	0.5132018502404062	0.6177102365185222	NA
dataset_name-FR-FCM-Z238_infection_final_seed-42	lda	num-4	2351465	0.48492422034117183	0.6100514394260131	NA
dataset_name-FR-FCM-Z238_infection_final_seed-42	lda	num-5	2296980	0.5187829437151059	0.6501265284140995	NA
dataset_name-FR-FCM-Z238_infection_final_seed-42	random	num-1	2828901	0.031816527995262384	0.054888877150980245	NA
dataset_name-FR-FCM-Z238_infection_final_seed-42	random	num-2	2768169	0.029951365207893196	0.05335467944734353	NA
dataset_name-FR-FCM-Z238_infection_final_seed-42	random	num-3	2830864	0.03628295468611496	0.05682221814213032	NA
dataset_name-FR-FCM-Z238_infection_final_seed-42	random	num-4	2817387	0.033938024408984906	0.0547052997250585	NA
dataset_name-FR-FCM-Z238_infection_final_seed-42	random	num-5	2800058	0.03402627973445402	0.056335290256145726	NA
dataset_name-FR-FCM-Z2KP_healthy_final_seed-42	cyanno	num-1	1536957	0.9788133678753955	0.9884802507228014	NA
dataset_name-FR-FCM-Z2KP_healthy_final_seed-42	cyanno	num-2	1356644	0.9859515424014953	0.9918386557881115	NA
dataset_name-FR-FCM-Z2KP_healthy_final_seed-42	cyanno	num-3	1408466	0.9824109572702883	0.9906261052060147	NA
dataset_name-FR-FCM-Z2KP_healthy_final_seed-42	cyanno	num-4	1421911	0.9848622357856104	0.9923216293297875	NA
dataset_name-FR-FCM-Z2KP_healthy_final_seed-42	cyanno	num-5	1404771	0.9882682472292973	0.9933146553842613	NA
dataset_name-FR-FCM-Z2KP_healthy_final_seed-42	cygate	num-1	1515011	0.9059391549358153	0.9468224146262247	NA
